Id;OznKoord;NazKlase;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;EKSPOZICIJ;NDM__M_;NAGIB_TERE
10412;XY.126152;Fagus sylvatica L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;164;751;3
10413;XY.126178;Fagus sylvatica L.;9,7;7,1;28;63,87;23,6;-1,6;25,2;10,5;2,3;18;1,7;1309;145;87;17;409;267;309;296;218;696;2
10414;XY.126183;Fagus sylvatica L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
10415;XY.126207;Fagus sylvatica L.;9,7;7,1;28;63,71;23,4;-1,6;25;10,6;2,2;17,9;1,7;1302;144;86;17;407;265;308;293;46;658;7
10416;XY.126213;Fagus sylvatica L.;9,5;7,1;28;63,75;23,3;-1,8;25,1;10,4;2,1;17,8;1,5;1308;145;87;17;409;267;308;296;6;878;8
10417;XY.126237;Fagus sylvatica L.;10,3;7,2;28;63,85;24,2;-1;25,2;11,1;2,9;18,6;2,3;1310;146;87;17;412;269;304;301;348;653;1
10418;XY.126252;Fagus sylvatica L.;10,5;7,1;28;63,78;24,4;-0,7;25,1;11,4;3,1;18,8;2,6;1299;144;87;17;408;268;301;299;46;658;7
10420;XY.126301;Fagus sylvatica L.;9,7;7,1;28;63,71;23,4;-1,6;25;10,6;2,2;17,9;1,7;1302;144;86;17;407;265;308;293;52;847;9
10421;XY.124028;Fagus sylvatica L.;10,9;9,4;31;71,06;26,8;-2,7;29,5;6,5;2,8;19,8;1,5;1093;120;69;17;337;215;272;248;80;230;0
10422;XY.124030;Fagus sylvatica L.;10,7;9,4;32;69,88;26,5;-2,7;29,2;6,5;2,7;19,5;1,5;1126;127;75;18;358;232;264;268;34;254;0
10423;XY.124033;Fagus sylvatica L.;10,7;9,4;32;69,88;26,5;-2,7;29,2;6,5;2,7;19,5;1,5;1126;127;75;18;358;232;264;268;144;232;1
10424;XY.124034;Fagus sylvatica L.;10,8;9,4;31;70,97;26,7;-2,7;29,4;6,6;2,8;19,8;1,5;1094;120;70;17;338;218;270;251;48;178;0
10425;XY.124042;Fagus sylvatica L.;11;9,4;31;71,06;26,9;-2,6;29,5;6,6;2,9;19,9;1,6;1083;119;69;17;334;214;269;246;176;196;0
10426;XY.124043;Fagus sylvatica L.;11;9,5;32;70,88;27;-2,6;29,6;6,7;3;20;1,7;1078;119;69;17;333;213;267;246;165;195;0
10427;XY.124050;Fagus sylvatica L.;10,9;9,4;31;70,84;26,7;-2,7;29,4;6,6;2,8;19,7;1,5;1091;120;70;17;338;217;269;250;27;192;1
10428;XY.124053;Fagus sylvatica L.;10,9;9,5;32;70,84;26,8;-2,6;29,4;6,6;2,9;19,8;1,6;1087;120;69;17;336;215;269;248;40;178;0
10429;XY.124054;Fagus sylvatica L.;10,9;9,5;32;70,84;26,8;-2,6;29,4;6,6;2,9;19,8;1,6;1087;120;69;17;336;215;269;248;40;178;0
