IdNalazistaOp;OpisNalazista;OznKoord;IdOpazanja;NazKlase;OznKoord;HTRS96_X;HTRS96_Y;Nesigurnost
299472;Juranska Draga, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117142;16060;Carpinus betulus L.;XY.117142;411118.0736;5040956.6431;25.0000
299474;Juranska Draga, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117143;16061;Carpinus betulus L.;XY.117143;411047.3688;5041177.0082;25.0000
299506;Kolosiki, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117156;16074;Carpinus betulus L.;XY.117156;419492.8295;5051517.1514;25.0000
299507;Kolosiki, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117157;16075;Carpinus betulus L.;XY.117157;419545.6361;5051466.1448;25.0000
299515;Liševje, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117161;16079;Carpinus betulus L.;XY.117161;418683.5540;5052979.5664;25.0000
299519;Liševje, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117162;16080;Carpinus betulus L.;XY.117162;418705.6605;5052913.5948;25.0000
299528;Ljeskovac, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117165;16083;Carpinus betulus L.;XY.117165;422261.5167;5056121.3931;25.0000
299555;Puškajica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117176;16091;Carpinus betulus L.;XY.117176;424665.7220;5049635.4159;25.0000
299562;Ravnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117178;16093;Carpinus betulus L.;XY.117178;408994.7355;5045626.9325;25.0000
299568;Ravnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117179;16094;Carpinus betulus L.;XY.117179;409576.9804;5045847.4939;25.0000
63248;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore, Sjeverni Velebit, Nalazište: južno od Vučjaka (Vučjak) i jugoistočno od Perišinaca (Perišinci), Terenska opažanja: D. Hruševar, T. Kirin, M. Magajne & I. Mihalić, Dta.:24.07.2005.;1155.442;1123;Carpinus betulus L.;1155.442;380147.1627;4965404.2536;NULL
123791;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Plitvička jezera, Nalazište: Nacionalni park Plitvička jezera (Plitvice);1159.224;2523;Carpinus betulus L.;1159.224;432929.1177;4971584.6626;NULL
79972;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Plitvička jezera;1160.112;1509;Carpinus betulus L.;1160.112;436233.6598;4972940.1936;NULL
298337;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116712;15632;Carpinus betulus L.;XY.116712;471061.1346;5113471.5798;25.0000
